ppkey,b1T,b2T,b3T,b4T,b5T,twDimT
Powergrid-0.0-line-6.q_to_mvar,Station 09,20 kV,J03,Reactive Power Q,MW,Mvar
Powergrid-0.0-line-6.i_to_ka,Station 09,20 kV,J03,Current,MW,A
Powergrid-0.0-line-6.vm_to_pu,Station 09,20 kV,J03,verk. Spannung L1-L2,MW,kV
Powergrid-0.0-line-8.p_from_mw,Station 10,20 kV,J01,Active Power P,MW,MW
Powergrid-0.0-line-8.q_from_mvar,Station 10,20 kV,J01,Reactive Power Q,MW,Mvar
Powergrid-0.0-line-8.i_from_ka,Station 10,20 kV,J01,Current,MW,A
Powergrid-0.0-line-8.vm_from_pu,Station 10,20 kV,J01,verk. Spannung L1-L2,MW,kV
Powergrid-0.0-bus-10.p_mw,Station 10,20 kV,J02,Active Power P,MW,MW
Powergrid-0.0-bus-10.q_mvar,Station 10,20 kV,J02,Reactive Power Q,MW,Mvar
,Station 10,20 kV,J02,Current,MW,A
Powergrid-0.0-bus-10.vm_pu,Station 10,20 kV,J02,verk. Spannung L1-L2,MW,kV
Powergrid-0.0-line-7.p_to_mw,Station 10,20 kV,J03,Active Power P,MW,MW
Powergrid-0.0-line-7.q_to_mvar,Station 10,20 kV,J03,Reactive Power Q,MW,Mvar
Powergrid-0.0-line-7.i_to_ka,Station 10,20 kV,J03,Current,MW,A
Powergrid-0.0-line-7.vm_to_pu,Station 10,20 kV,J03,verk. Spannung L1-L2,MW,kV
Powergrid-0.0-line-13.p_from_mw,Station 11,20 kV,J01,Active Power P,MW,MW
Powergrid-0.0-line-13.q_from_mvar,Station 11,20 kV,J01,Reactive Power Q,MW,Mvar
Powergrid-0.0-line-13.i_from_ka,Station 11,20 kV,J01,Current,MW,A
Powergrid-0.0-line-13.vm_from_pu,Station 11,20 kV,J01,verk. Spannung L1-L2,MW,kV
Powergrid-0.0-bus-11.p_mw,Station 11,20 kV,J02,Active Power P,MW,MW
Powergrid-0.0-bus-11.q_mvar,Station 11,20 kV,J02,Reactive Power Q,MW,Mvar
,Station 11,20 kV,J02,Current,MW,A
Powergrid-0.0-bus-11.vm_pu,Station 11,20 kV,J02,verk. Spannung L1-L2,MW,kV
Powergrid-0.0-line-8.p_to_mw,Station 11,20 kV,J03,Active Power P,MW,MW
Powergrid-0.0-line-8.q_to_mvar,Station 11,20 kV,J03,Reactive Power Q,MW,Mvar
Powergrid-0.0-line-8.i_to_ka,Station 11,20 kV,J03,Current,MW,A
Powergrid-0.0-line-8.vm_to_pu,Station 11,20 kV,J03,verk. Spannung L1-L2,MW,kV
Powergrid-0.0-trafo-1.p_lv_mw,Station 12,20 kV,J01,Active Power P,MW,MW
Powergrid-0.0-trafo-1.q_lv_mvar,Station 12,20 kV,J01,Reactive Power Q,MW,Mvar
Powergrid-0.0-trafo-1.i_lv_ka,Station 12,20 kV,J01,Current,MW,A
Powergrid-0.0-trafo-1.vm_lv_pu,Station 12,20 kV,J01,verk. Spannung L1-L2,MW,kV
Powergrid-0.0-bus-12.p_mw,Station 12,20 kV,J02,Active Power P,MW,MW
Powergrid-0.0-bus-12.q_mvar,Station 12,20 kV,J02,Reactive Power Q,MW,Mvar
,Station 12,20 kV,J02,Current,MW,A
Powergrid-0.0-bus-12.vm_pu,Station 12,20 kV,J02,verk. Spannung L1-L2,MW,kV
Powergrid-0.0-line-10.p_from_mw,Station 12,20 kV,J03,Active Power P,MW,MW
Powergrid-0.0-line-10.q_from_mvar,Station 12,20 kV,J03,Reactive Power Q,MW,Mvar
Powergrid-0.0-line-10.i_from_ka,Station 12,20 kV,J03,Current,MW,A
Powergrid-0.0-line-10.vm_from_pu,Station 12,20 kV,J03,verk. Spannung L1-L2,MW,kV
Powergrid-0.0-line-10.p_to_mw,Station 13,20 kV,J01,Active Power P,MW,MW
Powergrid-0.0-line-10.q_to_mvar,Station 13,20 kV,J01,Reactive Power Q,MW,Mvar
Powergrid-0.0-line-10.i_to_ka,Station 13,20 kV,J01,Current,MW,A
Powergrid-0.0-line-10.vm_to_pu,Station 13,20 kV,J01,verk. Spannung L1-L2,MW,kV
Powergrid-0.0-bus-13.p_mw,Station 13,20 kV,J02,Active Power P,MW,MW
Powergrid-0.0-bus-13.q_mvar,Station 13,20 kV,J02,Reactive Power Q,MW,Mvar
,Station 13,20 kV,J02,Current,MW,A
Powergrid-0.0-bus-13.vm_pu,Station 13,20 kV,J02,verk. Spannung L1-L2,MW,kV
Powergrid-0.0-line-11.p_from_mw,Station 13,20 kV,J03,Active Power P,MW,MW
Powergrid-0.0-line-11.q_from_mvar,Station 13,20 kV,J03,Reactive Power Q,MW,Mvar
Powergrid-0.0-line-11.i_from_ka,Station 13,20 kV,J03,Current,MW,A
Powergrid-0.0-line-11.vm_from_pu,Station 13,20 kV,J03,verk. Spannung L1-L2,MW,kV
Powergrid-0.0-line-11.p_to_mw,Station 14,20 kV,J01,Active Power P,MW,MW
Powergrid-0.0-line-11.q_to_mvar,Station 14,20 kV,J01,Reactive Power Q,MW,Mvar
Powergrid-0.0-line-11.i_to_ka,Station 14,20 kV,J01,Current,MW,A
Powergrid-0.0-line-11.vm_to_pu,Station 14,20 kV,J01,verk. Spannung L1-L2,MW,kV
Powergrid-0.0-bus-14.p_mw,Station 14,20 kV,J02,Active Power P,MW,MW
Powergrid-0.0-bus-14.q_mvar,Station 14,20 kV,J02,Reactive Power Q,MW,Mvar
,Station 14,20 kV,J02,Current,MW,A
